SiteIdentification,numTreesSampled,Gridref,plantingYear,YearLastRing,easting,northing
1211,10,NJ 42422 31547,1962,2007,342422,831547
1251,9,NJ 37580 07464,1962,2007,337580,807464
1390,10,SH 84047 30734,1968,2011,284047,330734
155,10,NT 46800 56100,1970,2007,346800,656100
1600,10,SH 85688 29686,1966,2011,285688,329686
2013,10,NY 20670 24315,1973,2011,320670,524315
2042,11,NY 18585 24934,1964,2011,318585,524934
2142,10,SS 90043 98669,1968,2011,290043,198669
2185,9,SS 80759 88300,1972,2011,280759,188300
2191,10,SS 98434 91990,1971,2011,298434,191990
226,10,NY 73769 83997,1971,2007,373769,583997
23,10,NX 51212 95342,1968,2007,251212,595342
2304,10,NY 16766 31911,1966,2011,316766,531911
243,10,NT 72359 14649,1970,2007,372359,614649
2436,10,SN 83204 08079,1966,2011,283204,208079
2559,10,SN 47662 29775,1970,2011,247662,229775
2723,11,SN 78407 59628,1968,2011,278407,259628
278,10,NC 56817 2996,1961,2009,256817,902996
2789,10,SN 72116 24383,1971,2011,272116,224383
279,10,NC 57262 14870,1962,2009,257262,914870
280,10,NC 52241 23791,1974,2009,252241,923791
281,10,NC 68494 36248,1971,2009,268494,936248
303,10,SJ 00342 52019,1968,2011,300342,352019
3237,10,SN 74058 55893,1972,2011,274058,255893
3323,10,NO 70839 85121,1961,2007,370839,785121
339,10,NJ 53213 10020,1970,2007,353213,810020
4301,10,SE 88364 852801,1976,2011,488364,485280
461,10,NR 72576 51283,1963,2009,172576,651283
5234,10,ST 22227 33764,1970,2011,322227,133764
54,10,SH 73287 29315,1971,2011,273287,329315
55,10,NX 29592 51367,1970,2007,229592,551367
5565,10,NN 94407 54285,1964,2007,294407,754285
5945,10,NO 09477 53584,1967,2007,309477,753584
63,10,NX 29701 68442,1970,2007,229701,568442
64,10,NY 65546 77797,1967,2007,365546,577797
6619,10,NR 75038 66632,1964,2009,175038,666632
6630,10,NR 72430 13881,1970,2009,172430,613881
6874,10,NR 71198 15589,1970,2009,171198,615589
72,10,NX 45997 70481,1962,2007,245997,570481
7643,10,SE 88167 94894,1975,2011,488167,494894
80,10,NX 37781 78876,1962,2007,237781,578876
86,10,SD 74912 58152,1968,2011,374912,458152
9004,10,SE 61550 99113,1970,2011,461550,499113
9008,10,SE 61860 99401,1967,2011,461860,499401
EXM7,10,SS 69680 33212,1970,2011,269680,133212
FERN,10,SX 66004 82670,1971,2011,266004,82670
QUA6,10,ST 16574 35751,1971,2011,316574,135751
