Year,Month,Tmax,Tmin,Tmean,Rain,SolarRad,VPD,FrostDay,DayIrrig
2015,1,11.41969444,-3.10915,2.201525428,0,2.034437825,0.039094533,0,0
2015,2,9.2405,-3.741541667,2.453954434,0,6.401258541,0.051161871,0,0
2015,3,14.15255556,-1.510658333,4.628731938,43.4,8.079664349,0.133358578,0,0
2015,4,18.36841667,-2.312852778,7.299647242,41.8,16.43812173,0.233227664,0,0
2015,5,16.23380556,0.004891667,7.358156556,73.609,16.50922167,0.232436885,0,0
2015,6,24.55866667,2.842280556,11.1103811,47.08,17.26534915,0.354752644,0,0
2015,7,23.81738889,5.679138889,12.17700745,204.255,16.08693112,0.266195067,0,0
2015,8,19.81652778,7.826344444,13.08231765,111.275,15.31390196,0.306558394,0,0
2015,9,17.21144444,5.260469444,10.39960084,54.94,10.33414127,0.194005282,0,0
2015,10,18.20116667,2.834452778,8.900695407,104.533,5.553128799,0.115377169,0,0
2015,11,16.56758333,-2.187805556,6.314722702,233.108,2.238591211,0.07010942,0,0
2015,12,13.48391667,-0.100236111,5.891370266,366.315,1.270449329,0.073536328,0,0
2016,1,11.79044444,-3.117380556,2.927697377,293.853,1.62580128,0.044382848,0,0
2016,2,9.428083333,-3.041630556,2.036649475,67.522,4.688618329,0.081726229,0,0
2016,3,11.19736111,-2.989177778,3.750121011,64.748,7.770347356,0.107633188,0,0
2016,4,15.11,-2.732,4.26401418,93.028,12.76417255,0.128400271,0,0
2016,5,19.15397222,0.964466667,8.96936214,50.69,18.34699123,0.227481503,0,0
2016,6,22.00041667,4.691311111,11.20821972,133.515,15.66177815,0.200802389,0,0
2016,7,26.33230556,5.451611111,13.23381405,133.098,15.70848126,0.267474298,0,0
2016,8,21.77547222,5.964805556,13.39875094,120.412,14.48547082,0.246002401,0,0
2016,9,26.38475,6.702625,13.44082909,66.94,10.44275385,0.205034557,0,0
2016,10,14.69586111,4.22055,8.686302514,73.88,5.338553047,0.065791001,0,0
2016,11,11.71122222,-1.560347222,3.522323537,188.427,3.01452645,0.05838373,0,0
2016,12,12.57683333,-0.249763889,5.315392181,48.974,1.603300903,0.057693978,0,0
2017,1,9,-4.765530556,2.82619993,51.482,2.064004953,0.081957912,0,0
2017,2,11.68830556,-2.152627778,3.593426145,163.471,3.26253756,0.042381461,0,0
2017,3,15.74322222,-1.578722222,5.618479429,133.47,8.693290305,0.120713135,0,0
2017,4,15.86916667,-2.047297222,6.049380092,18.659,13.82464666,0.218611461,0,0
2017,5,22.98522222,3.413313889,10.07071843,34.56,17.9854877,0.247797672,0,0
2017,6,23.42494444,6.303963889,12.43570512,245.176,15.55918444,0.235259167,0,0
2017,7,21.32438889,5.402516667,12.60258354,160.963,14.53607195,0.210690065,0,0
2017,8,19.76911111,6.978525,12.85235678,84.599,14.21918791,0.216968699,0,0
2017,9,17.51869444,4.506641667,10.83741296,114.251,8.891758232,0.12490364,0,0
2017,10,15.92308333,1.119561111,9.700199776,187.732,4.513089161,0.172508095,0,0
2017,11,10.78,-2.568225,3.614389663,127.992,3.102916949,0.114279758,0,0
2017,12,10.95488889,-5.265394444,2.315235241,116.669,1.736471678,0.160215663,0,0
2018,1,9.689194444,-3.747213889,2.254312463,114.26,1.961485462,0.240404013,0,0
2018,2,8.466916667,-7.036772222,0.551322558,65.121,4.247084537,0.04684667,0,0
2018,3,9.579944444,-6.11245,1.657405903,173.95,6.866057022,0.057174561,0,0
2018,4,20.11094444,-2.920475,6.099868693,78.2,11.51007809,0.107896183,0,0
2018,5,21.66088889,0.831947222,10.77477201,41.751,20.86873787,0.276806864,0,0
2018,6,24.82705556,5.116847222,12.92420566,63.869,20.78526089,0.354738582,0,0
2018,7,24.78747222,8.286555556,15.29035096,65.27,19.006921,0.335113238,0,0
2018,8,20.85008333,5.4722,13.31077974,114.566,13.10192564,0.167411742,0,0
2018,9,20.86966667,2.816761111,10.435674,109.98,10.16544145,0.138699557,0,0
2018,10,17.53547222,-0.151811111,8.101934274,112.677,5.685606365,0.079521196,0,0
2018,11,12.00861111,0.620469444,6.036152526,143.699,1.957959325,0.028288953,0,0
2018,12,9.92,-2.041,4.117525164,78.91,1.754141779,0.019311117,0,0
